"","actin","cd3","cd4","cd45","cd45ro","collageni","cytokeratin","fibulin2","lyve1","podoplanin","cd38","cd138","InferredCellType"
"91",0,1,1,0,1,0,0,0,0,0,0,0,"T-cells Mixed"
"92",0,0,0,0,0,0,0,0,0,0,0,1,"Mixed"
"93",0,0,0,0,0,0,1,0,0,0,0,1,"Epithelial cells"
"94",0,0,0,0,0,1,1,1,0,0,0,1,"Mixed"
"95",0,0,0,0,0,0,0,0,0,1,0,1,"Mixed"
"96",0,1,1,0,1,0,0,0,0,0,0,0,"T-cells Mixed"
"97",0,0,0,0,0,0,0,0,0,0,0,1,"Mixed"
"98",0,0,0,0,0,0,0,0,0,0,0,1,"Mixed"
"99",0,0,0,0,1,1,0,0,0,0,0,0,"Mixed"
"100",0,0,0,0,0,0,0,0,0,0,0,1,"Mixed"
"101",0,0,0,0,0,1,0,0,0,0,0,0,"Extracellular matrix"
"102",0,0,0,0,0,1,0,0,0,0,0,0,"Extracellular matrix"
"103",0,0,0,0,0,0,1,0,0,0,0,1,"Epithelial cells"
"104",0,0,0,0,0,1,0,1,0,0,0,0,"Extracellular matrix"
"105",0,0,0,0,0,0,1,0,0,1,0,1,"Mixed"
"106",0,0,0,1,0,0,0,0,0,0,0,1,"Mixed"
"107",0,0,0,0,0,1,0,0,0,0,0,0,"Extracellular matrix"
"108",0,0,0,0,0,0,0,0,0,0,0,1,"Mixed"
"109",0,0,0,0,0,0,0,0,0,1,0,1,"Mixed"
"110",0,0,0,0,0,0,0,0,0,0,0,0,"Other"
"111",0,0,0,0,0,0,0,0,0,0,0,0,"Other"
"112",0,1,1,0,1,0,0,1,0,0,0,1,"Mixed"
"113",0,0,0,0,0,0,0,0,0,0,0,1,"Mixed"
"114",0,0,0,0,0,0,0,0,0,0,0,0,"Other"
"115",0,1,1,0,1,1,0,0,0,0,0,0,"Mixed"
"116",0,0,0,0,0,0,0,0,0,0,0,1,"Mixed"
"117",0,0,0,0,0,1,0,0,0,1,0,0,"Mixed"
"118",0,0,0,0,1,0,0,0,0,0,0,0,"T-cells Mixed"
"119",0,0,0,0,0,0,0,0,0,0,0,1,"Mixed"
"120",0,0,0,0,0,0,0,1,0,0,0,0,"Extracellular matrix"
"121",1,0,0,0,0,1,0,0,0,0,0,0,"Mixed"
"122",0,0,0,0,0,0,0,0,0,0,0,0,"Other"
"123",0,0,0,0,0,0,0,0,0,0,0,0,"Other"
"124",1,0,0,0,0,0,0,0,0,0,0,0,"Myocytes"
"125",0,1,1,0,0,0,0,0,0,0,0,0,"T-cells Mixed"
"126",0,0,0,0,1,0,0,0,0,0,0,0,"T-cells Mixed"
"127",0,0,0,0,0,0,0,0,0,0,0,0,"Other"
"128",0,0,0,0,1,0,0,0,0,0,0,1,"Mixed"
"129",0,0,0,0,0,0,1,0,0,1,0,1,"Mixed"
"130",0,0,0,0,0,1,0,0,0,0,0,0,"Extracellular matrix"
"131",0,0,0,0,1,0,1,0,0,0,0,1,"Mixed"
"132",0,0,0,0,0,1,0,0,0,1,0,0,"Mixed"
"133",0,0,0,0,0,0,0,0,0,1,0,0,"Lymphatic vessel"
"134",1,0,0,0,0,0,0,0,0,0,0,0,"Myocytes"
"135",0,0,0,0,1,1,0,0,0,0,0,0,"Mixed"
"136",0,0,0,0,0,0,0,0,0,0,0,0,"Other"
"137",1,1,0,0,0,1,0,1,0,0,0,0,"Mixed"
"138",0,1,0,1,0,0,0,0,0,0,0,1,"Mixed"
"139",0,0,0,0,0,0,0,0,0,0,0,0,"Other"
"140",1,0,0,0,0,1,0,0,0,0,0,0,"Mixed"
"141",0,0,0,0,1,1,0,0,0,0,0,1,"Mixed"
"142",0,0,0,0,0,0,0,0,0,0,0,0,"Other"
"143",1,0,0,0,0,0,0,0,0,0,0,0,"Myocytes"
"144",0,0,0,0,0,0,0,0,0,0,0,1,"Mixed"
"145",0,0,0,1,1,1,0,0,0,0,0,1,"Mixed"
"146",0,0,0,0,0,1,1,0,0,0,0,1,"Mixed"
"147",0,0,0,0,0,1,0,0,0,0,0,0,"Extracellular matrix"
"148",0,0,0,0,0,1,0,0,0,0,0,0,"Extracellular matrix"
"149",0,0,0,0,1,0,1,0,0,0,0,1,"Mixed"
"150",0,0,0,0,0,1,0,0,0,0,0,0,"Extracellular matrix"
"151",0,0,0,0,0,0,0,0,0,1,1,0,"Mixed"
"152",0,0,0,0,0,1,0,0,0,0,0,1,"Mixed"
"153",0,0,0,0,0,1,0,0,0,0,0,0,"Extracellular matrix"
"154",1,0,0,0,0,1,0,0,0,0,0,0,"Mixed"
"155",0,0,0,0,0,0,0,0,0,0,0,1,"Mixed"
"156",0,0,0,0,0,0,0,0,0,0,0,0,"Other"
"157",0,0,0,1,0,1,0,0,0,1,0,1,"Mixed"
"158",0,0,0,0,0,0,0,0,0,0,0,1,"Mixed"
"159",0,0,0,0,0,1,0,0,0,1,0,0,"Mixed"
"160",0,0,0,0,0,1,1,0,0,0,0,1,"Mixed"
"161",0,1,1,0,1,0,0,0,0,0,0,1,"Mixed"
"162",0,0,0,0,0,1,0,0,0,0,0,0,"Extracellular matrix"
"163",0,0,0,0,0,0,0,0,0,0,0,0,"Other"
"164",0,0,0,0,0,0,0,1,0,0,0,0,"Extracellular matrix"
"165",0,0,0,0,1,0,0,0,0,1,0,0,"Mixed"
"166",0,0,0,0,0,0,0,0,0,1,0,0,"Lymphatic vessel"
"167",0,0,0,0,0,0,0,0,0,0,0,1,"Mixed"
"168",0,0,0,0,0,0,1,0,0,0,0,0,"Epithelial cells"
"169",0,0,0,0,0,1,0,0,0,0,0,0,"Extracellular matrix"
"170",0,0,0,0,0,0,0,0,0,0,0,1,"Mixed"
"171",0,0,0,0,1,0,0,0,0,0,0,0,"T-cells Mixed"
"172",1,0,0,0,0,0,0,0,0,0,0,0,"Myocytes"
"173",1,0,0,0,0,0,0,0,0,0,0,0,"Myocytes"
"174",0,0,0,0,0,0,0,0,0,0,0,1,"Mixed"
"175",0,0,1,0,0,1,0,0,0,0,0,0,"Mixed"
"176",1,1,1,0,0,0,0,0,0,1,0,0,"Mixed"
"177",0,0,0,0,0,1,0,0,0,0,0,0,"Extracellular matrix"
"178",0,0,0,0,0,0,0,0,0,0,0,1,"Mixed"
"179",0,0,0,0,0,0,0,0,0,0,0,0,"Other"
"180",0,1,1,0,1,1,0,0,0,0,0,0,"Mixed"
"181",0,0,0,0,0,1,0,0,0,0,0,1,"Mixed"
"182",0,0,0,0,0,0,0,0,0,0,0,1,"Mixed"
"183",0,0,0,0,1,0,0,0,0,0,0,0,"T-cells Mixed"
"184",0,0,0,0,0,0,0,0,0,0,0,1,"Mixed"
"185",0,0,0,0,1,1,0,0,0,0,0,0,"Mixed"
"186",0,0,0,0,0,0,0,0,0,0,0,0,"Other"
"187",0,0,0,0,0,1,0,0,0,0,0,0,"Extracellular matrix"
"188",0,1,0,0,0,0,0,0,0,0,0,1,"Mixed"
"189",1,0,0,0,0,1,0,1,0,0,0,0,"Mixed"
"190",0,0,0,0,0,0,0,0,0,0,0,1,"Mixed"
"191",0,0,0,0,0,1,0,0,0,0,0,0,"Extracellular matrix"
"192",0,0,0,0,0,1,0,0,0,0,0,0,"Extracellular matrix"
"193",0,0,0,0,0,0,0,0,0,0,0,0,"Other"
"194",0,0,0,0,0,0,1,0,0,0,0,0,"Epithelial cells"
"195",0,0,0,0,0,0,0,0,0,0,0,1,"Mixed"
"196",0,0,0,0,0,0,0,0,0,0,0,1,"Mixed"
"197",0,1,1,0,0,0,0,0,0,1,0,1,"Mixed"
"198",1,0,0,0,0,1,0,1,0,0,0,0,"Mixed"
"199",0,0,0,0,0,1,0,0,0,0,0,0,"Extracellular matrix"
"200",0,0,0,0,0,0,0,0,0,0,0,1,"Mixed"
"201",0,0,0,0,0,0,0,0,0,1,0,0,"Lymphatic vessel"
