,intensity_mean,intensity_min,intensity_max,area,centroid-0,centroid-1
0,4532.946135831382,3673.0,5457.0,854.0,9.217798594847775,23.1768149882904
1,4122.834217037823,3050.0,5312.0,2829.0,21.315659243548957,194.07811947684695
2,4456.700863213811,3064.0,6841.0,3012.0,19.198207171314742,305.4996679946879
3,4943.028587135789,3824.0,7415.0,1819.0,17.49202858713579,668.3496426608026
4,5421.0352112676055,4323.0,7120.0,2130.0,15.444131455399061,2061.6028169014085
5,5809.350834679591,4467.0,8110.0,3714.0,27.20490037695207,2115.878298330641
6,5444.975149957155,4321.0,7196.0,1167.0,9.234790059982862,2200.890317052271
7,5259.201185495119,3768.0,8023.0,2868.0,19.965829846582984,2567.1464435146445
8,3654.7307564145285,2332.0,6355.0,3001.0,22.615461512829057,3821.022659113629
9,3907.0164808531267,1985.0,6222.0,2063.0,17.504604944255938,3964.4381968007756
10,3454.118918918919,2703.0,4258.0,1110.0,10.836036036036036,4064.9234234234236
11,6469.129372102823,3337.0,15154.0,2373.0,18.223767383059418,4466.6443320691105
12,3902.8849279161204,2801.0,6547.0,3815.0,25.75832241153342,4615.758584534731
13,4098.580878105142,2990.0,7965.0,3462.0,21.442807625649912,5151.01993067591
14,4068.3191613278973,2728.0,7078.0,3434.0,23.240827023878857,5227.6057076295865
15,4027.0906309751435,2828.0,6519.0,2615.0,17.763288718929253,7161.980114722754
16,3879.2844257366205,3003.0,4919.0,1663.0,15.225496091401082,7744.485267588695
17,4145.372331691297,3173.0,6624.0,2436.0,19.796387520525453,7796.415845648604
18,4086.9369812480786,2725.0,4916.0,3253.0,21.723639717184138,8735.443590531817
19,4501.452044025157,3128.0,6758.0,1272.0,10.822327044025156,8917.494496855346
20,4485.397144711226,2299.0,9894.0,4623.0,31.645252000865238,9194.528012113346
21,3571.966488586693,2352.0,5550.0,2059.0,24.867897037396794,4035.651772705197
22,4699.451453029962,2668.0,8253.0,4439.0,33.26785312007209,8462.857400315386
23,4194.27294341417,2704.0,6533.0,2103.0,14.877793628150261,9102.416072277698
24,7206.810269799826,4357.0,14028.0,1149.0,14.696257615317668,4517.524804177546
25,3887.434191702432,2844.0,8172.0,2796.0,23.25250357653791,4409.176680972819
26,5808.1911007025765,4173.0,7912.0,4270.0,29.083372365339578,2257.292037470726
27,5933.0142362447095,3726.0,11366.0,2599.0,28.85686802616391,4558.51058099269
