,intensity_mean,intensity_min,intensity_max,area,centroid-0,centroid-1
0,1480.92037470726,1128.0,1917.0,854.0,9.217798594847775,23.1768149882904
1,1470.3849416755038,1096.0,1920.0,2829.0,21.315659243548957,194.07811947684695
2,1439.1583665338646,1025.0,2163.0,3012.0,19.198207171314742,305.4996679946879
3,1548.6558548653106,1199.0,2010.0,1819.0,17.49202858713579,668.3496426608026
4,1645.1741784037558,1427.0,1993.0,2130.0,15.444131455399061,2061.6028169014085
5,1713.4176090468497,1313.0,2061.0,3714.0,27.20490037695207,2115.878298330641
6,1673.994001713796,1338.0,2025.0,1167.0,9.234790059982862,2200.890317052271
7,1662.676429567643,1337.0,2025.0,2868.0,19.965829846582984,2567.1464435146445
8,1126.5358213928691,717.0,1698.0,3001.0,22.615461512829057,3821.022659113629
9,1283.891904992729,531.0,2304.0,2063.0,17.504604944255938,3964.4381968007756
10,1193.101801801802,954.0,1611.0,1110.0,10.836036036036036,4064.9234234234236
11,1300.7758112094396,963.0,3114.0,2373.0,18.223767383059418,4466.6443320691105
12,1210.1583224115334,701.0,2537.0,3815.0,25.75832241153342,4615.758584534731
13,1301.0701906412478,1013.0,2285.0,3462.0,21.442807625649912,5151.01993067591
14,1372.2644146767618,915.0,2147.0,3434.0,23.240827023878857,5227.6057076295865
15,1286.9365200764819,857.0,1771.0,2615.0,17.763288718929253,7161.980114722754
16,1433.0847865303667,1086.0,1877.0,1663.0,15.225496091401082,7744.485267588695
17,1491.0131362889983,1170.0,2125.0,2436.0,19.796387520525453,7796.415845648604
18,1429.688595142945,1034.0,2224.0,3253.0,21.723639717184138,8735.443590531817
19,1469.997641509434,1105.0,2094.0,1272.0,10.822327044025156,8917.494496855346
20,1379.2799048237075,752.0,2210.0,4623.0,31.645252000865238,9194.528012113346
21,1183.9354055366682,547.0,1814.0,2059.0,24.867897037396794,4035.651772705197
22,1473.6109484118044,1117.0,2270.0,4439.0,33.26785312007209,8462.857400315386
23,1479.8977650974798,1095.0,2223.0,2103.0,14.877793628150261,9102.416072277698
24,1269.798085291558,1062.0,1521.0,1149.0,14.696257615317668,4517.524804177546
25,1241.6959942775393,930.0,1806.0,2796.0,23.25250357653791,4409.176680972819
26,1702.0355971896956,1384.0,2338.0,4270.0,29.083372365339578,2257.292037470726
27,1308.2735667564448,938.0,1705.0,2599.0,28.85686802616391,4558.51058099269
28,1218.973814229249,859.0,2506.0,2024.0,21.591403162055336,3914.941699604743
29,1591.9740840035747,1255.0,2340.0,3357.0,23.7226690497468,725.5177241584748
30,1313.0988700564972,1028.0,1690.0,2832.0,23.29484463276836,7265.556144067797
31,1287.146848137536,1076.0,1742.0,1396.0,23.265759312320917,9417.32664756447
32,1370.2760141093474,1012.0,1831.0,4536.0,34.348324514991184,7375.983465608466
33,1462.528596961573,1030.0,2156.0,2238.0,27.57864164432529,8410.7363717605
34,1563.2818646734854,877.0,2409.0,5084.0,35.30035405192761,8658.527537372149
35,1338.3547995139734,1083.0,1852.0,1646.0,25.789793438639126,7701.037059538275
36,1139.212765957447,752.0,2328.0,2350.0,43.35617021276596,4004.634468085106
37,1428.8111162361624,671.0,2194.0,4336.0,35.36669741697417,9016.638376383764
38,1431.272681196148,1082.0,1828.0,1973.0,45.84845413076533,15.985301571211354
39,1668.5263044878677,1129.0,2149.0,4657.0,41.3766373201632,2630.4434185097703
40,1690.6757982240695,1146.0,2369.0,5293.0,51.97430568675609,2175.667674286794
41,1428.4056664520283,1009.0,2190.0,3106.0,31.582099162910495,8926.810367031552
42,1371.880437613962,946.0,2037.0,3839.0,52.77468090648606,7147.678301641053
43,1612.7962962962963,1264.0,2490.0,3834.0,36.52503912363067,624.0099113197705
44,1581.5763747454175,1140.0,2774.0,3928.0,39.19704684317719,2965.616598778004
45,1186.3418803418804,746.0,2349.0,3627.0,44.955610697546184,3867.8712434518884
46,1638.9596790371113,1271.0,2412.0,4985.0,45.31775325977934,798.7476429287864
47,1429.5367286973556,1024.0,1810.0,1021.0,45.51714005876592,4516.190009794319
48,1376.9354953670706,958.0,1837.0,2806.0,43.049536707056305,7320.261582323592
49,1359.194705882353,906.0,3002.0,3400.0,60.69558823529412,7728.8164705882355
50,1731.1475694444443,1223.0,2839.0,2304.0,38.962673611111114,886.5646701388889
51,1673.0708636507434,1333.0,2121.0,3161.0,45.77886744701044,2690.841822208162
52,1690.1310459852275,1254.0,3584.0,4197.0,53.26757207529187,2409.7800810102453
53,1237.2950978024633,907.0,3116.0,4141.0,69.61603477420913,4481.024390243902
54,1454.917748917749,1088.0,2152.0,2541.0,54.53325462416372,8383.745375836284
55,1453.7306168647426,902.0,3168.0,3534.0,56.4272778720996,9087.491511035654
56,1471.2420306965762,887.0,2226.0,3388.0,68.80371900826447,8959.856552538371
57,1398.6021505376343,996.0,1865.0,930.0,61.39677419354839,8909.917204301075
58,1429.4530527289546,1041.0,2204.0,4324.0,72.07562442183163,55.64801110083256
59,1488.0642793196062,1069.0,2157.0,5585.0,77.29991047448523,8339.135362578334
60,1435.459964932788,1164.0,2238.0,1711.0,53.832261835184106,7819.185271770894
61,1603.2246941045605,1169.0,3208.0,2697.0,58.755283648498335,3049.5265109380794
62,1351.6200122774708,987.0,1843.0,3258.0,64.56322897483119,5272.452424800491
63,1448.5389801938475,952.0,2031.0,2373.0,71.66877370417194,4562.327433628318
64,1327.086938607334,870.0,2171.0,4854.0,73.80902348578492,3957.426040379069
65,1566.8275087368947,1117.0,2088.0,4006.0,72.22391412880678,713.3766849725412
66,1695.921541057368,1348.0,2133.0,3556.0,72.99887514060742,2458.8681102362207
67,1487.4400958466454,999.0,1964.0,2504.0,60.14217252396166,8855.540335463258
68,1679.2550191204589,1305.0,2254.0,4184.0,66.15654875717017,2018.9335564053538
69,1511.144727530078,1165.0,2139.0,5652.0,95.9992922859165,585.8775654635527
70,1522.3755948334467,1225.0,1931.0,2942.0,84.67777022433718,642.2549286199865
71,1523.9221818181818,1050.0,1955.0,4125.0,96.73357575757576,8671.641696969697
72,1502.371983771087,1112.0,2528.0,4683.0,80.77599829169336,8517.405936365578
73,1521.8900722708254,903.0,2540.0,2629.0,81.4906808672499,9214.494484594903
74,1287.5575459023735,1031.0,1841.0,2233.0,78.42678011643528,7299.056874160323
75,1723.2349369453527,1412.0,2045.0,2141.0,73.27977580569828,2296.590378327884
76,1699.479662880176,1401.0,2463.0,2729.0,99.48442652986442,2709.3576401612313
77,1609.2418159357628,1282.0,2183.0,3238.0,89.21093267449042,900.562693020383
78,1252.8320214669052,934.0,3542.0,5590.0,96.76440071556351,5216.263685152057
79,1392.5129819040126,1026.0,2878.0,3813.0,92.35300288486756,7791.18777865198
80,1618.5669291338584,1335.0,1984.0,3810.0,107.95643044619423,2659.127034120735
81,1357.7557043650793,972.0,2052.0,4032.0,110.14037698412699,7130.515376984127
82,1742.5601061812665,1327.0,3415.0,2637.0,98.95108077360636,855.2150170648464
83,1663.1331759149941,1228.0,2131.0,4235.0,112.71121605667061,2274.455489964581
84,1151.0689753051377,786.0,1599.0,3523.0,97.69145614533069,3747.0002838489922
85,1444.4134980988592,1031.0,2031.0,2104.0,98.87214828897338,8884.681558935361
86,1650.5160031225605,820.0,5754.0,3843.0,102.30965391621129,9048.956804579755
87,1254.745571658615,909.0,1650.0,4347.0,107.50862663906142,5314.481941568898
88,1237.7536543422184,935.0,1608.0,2326.0,102.95442820292348,4440.454858125538
89,1535.2391304347825,896.0,2968.0,3036.0,106.31949934123847,8613.662714097496
90,1488.416905444126,1148.0,2093.0,1396.0,105.18194842406876,8917.695558739255
91,1419.2469879518073,1144.0,2206.0,2158.0,119.37488415199259,7823.462928637628
92,1279.075503875969,921.0,3863.0,6450.0,129.64682170542636,4548.868992248062
93,1685.433242506812,991.0,2048.0,4037.0,125.94426554372059,2332.342333415903
94,1461.2087994034302,1098.0,2293.0,2682.0,117.02721849366145,7865.646905294557
95,1696.572447859495,1316.0,2111.0,1822.0,111.86608122941823,2477.467618002195
96,1222.3804068272154,785.0,2551.0,4277.0,121.63432312368482,3824.2239887771802
97,1322.8121720881427,987.0,1734.0,2859.0,121.51451556488283,7173.829310947884
98,1388.6717528842576,1009.0,2620.0,2687.0,108.74879047264608,5433.224413844436
99,1362.221394719025,1071.0,1902.0,2954.0,114.91469194312796,7238.919092755586
100,1615.171323736946,1127.0,2871.0,3543.0,119.52300310471352,776.8060965283657
101,1629.740072706935,1224.0,2620.0,7152.0,134.56431767337807,1957.6027684563758
102,1727.4087620578778,1373.0,2078.0,2488.0,117.68770096463022,2383.1414790996782
103,1454.6298586572439,1124.0,2124.0,3396.0,121.16578327444051,7964.656065959953
104,1546.5004230118443,1099.0,2592.0,2364.0,112.33756345177665,8416.359560067682
105,1335.6730627306274,981.0,3066.0,4065.0,124.20787207872078,7306.614268142682
106,1404.2054095432509,887.0,2071.0,3919.0,125.93187037509568,6986.441183975504
107,1279.5521694214876,949.0,1801.0,1936.0,117.61518595041322,3945.6725206611573
108,1499.3627558881797,997.0,2198.0,4543.0,138.32951793968743,8555.459608188421
109,1485.0345803842265,1117.0,2182.0,4945.0,145.63397371081902,8704.22669362993
110,1308.9509879394407,775.0,1903.0,3897.0,119.97356941236849,4717.503977418527
111,1458.7997943092219,1076.0,2084.0,2917.0,133.61672951662666,8940.748371614673
112,1490.8202024211153,1078.0,2415.0,5039.0,144.4457233578091,8473.75451478468
113,1405.5612068965518,1078.0,2343.0,3480.0,133.6344827586207,7529.855459770115
114,1467.592261904762,1101.0,2288.0,4032.0,137.12003968253967,8191.075644841269
115,1665.469525959368,1288.0,2170.0,3544.0,131.84057562076748,2770.9596501128667
116,1195.9036850921273,862.0,1619.0,2388.0,146.85552763819095,3786.749162479062
117,1561.2707774798928,1034.0,3097.0,1492.0,134.3170241286863,5397.992627345844
118,1430.5049606568593,1179.0,1843.0,2923.0,131.89531303455354,8251.274375641464
119,1454.744971537002,1029.0,3346.0,2635.0,126.84098671726755,8833.672865275143
120,1544.2076481835563,1225.0,1919.0,2615.0,129.83671128107073,339.6003824091778
121,1607.5766484670307,1207.0,2386.0,2381.0,131.9185216295674,2969.90046199076
122,1180.7704918032787,872.0,1793.0,3538.0,137.236009044658,3884.0245901639346
123,1629.207123098202,1079.0,2471.0,2892.0,138.2008990318119,8052.678423236514
124,1655.1153243497336,1388.0,2359.0,3191.0,146.7643371983704,2493.9044186775304
125,1120.9466184602297,694.0,1465.0,4702.0,150.66312207571247,3621.0780518928113
126,1550.352144469526,1167.0,2340.0,3987.0,153.6240280912967,2934.706797090544
127,1232.192317348732,900.0,1687.0,3983.0,158.20311323123275,4694.664825508411
128,1502.3679735474727,1128.0,2047.0,4234.0,154.18611242324044,8398.737600377894
129,1641.9593192195932,921.0,3841.0,2409.0,157.3046907430469,5426.845163968452
130,1294.5395287381634,970.0,1699.0,4541.0,175.99735741026205,7182.1286060339135
131,1185.7042402826855,677.0,2055.0,2830.0,153.43144876325087,3735.6533568904592
132,1306.1328447951898,880.0,2259.0,5322.0,153.16685456595266,4798.562946260804
133,1564.3762209498148,1106.0,2667.0,2969.0,150.71741327046144,8011.692489053554
134,1709.6606376456161,1275.0,2419.0,3262.0,145.47486204782342,1612.6367259350093
135,1114.9490227152667,900.0,1497.0,3786.0,156.84970945589012,3943.251980982567
136,1730.4215373050179,1114.0,2572.0,5321.0,158.62131178349935,2065.5119338470213
137,1514.1860100376412,1193.0,2147.0,3188.0,153.00094102885822,8340.663111668759
138,1506.5960512273211,1161.0,2384.0,1874.0,151.65101387406617,8979.89114194237
139,1857.039087157077,1286.0,2810.0,4119.0,164.8905074047099,371.89876183539695
140,1852.0473521994957,1258.0,4856.0,3569.0,157.43793779770243,865.2485289997198
141,1408.4039387308535,976.0,2256.0,4570.0,176.52669584245078,7864.739606126915
142,1698.079152249135,1289.0,2128.0,4624.0,156.80017301038063,2148.599480968858
143,1469.5879351740696,1086.0,2345.0,3332.0,167.56032412965186,8826.16206482593
144,1271.759415833974,943.0,1834.0,3903.0,161.97617217524981,7046.347425057648
145,1725.5367391989907,1318.0,2334.0,3171.0,167.24251024913278,2375.5389467045097
146,1657.016582220175,1354.0,2677.0,4342.0,169.66904652233993,2726.9725932749884
147,1620.6157687253615,1216.0,2231.0,3805.0,162.41419185282524,260.1166885676741
148,1298.42373306573,882.0,1655.0,3986.0,179.51856497742097,7233.7245358755645
149,1401.7015995587424,901.0,2038.0,1813.0,174.9939327082184,7967.283507997794
150,1215.9647952139899,352.0,1728.0,4346.0,169.85020708697652,4480.794523699954
151,1504.5168784029038,1147.0,2147.0,2755.0,181.99745916515425,8234.62613430127
152,1342.052790346908,831.0,2349.0,1989.0,169.5952740070387,7311.019607843137
153,1620.397203408346,1058.0,2499.0,4577.0,177.90452261306532,8114.403539436312
154,1297.8699134892663,1040.0,1991.0,3121.0,179.63953860942007,9410.025312399872
155,1422.7868171021378,1048.0,2020.0,3368.0,170.67606888361044,134.18883610451306
156,1269.0239507800484,922.0,1646.0,4551.0,185.58426719402328,7098.909030982201
157,1481.4328440875104,1060.0,2251.0,3611.0,175.73525339241206,78.30573248407643
158,1178.092331768388,792.0,1858.0,2556.0,194.45892018779344,3761.097809076682
159,1415.3134966938935,983.0,1877.0,2571.0,188.20614546868921,7936.583819525476
160,1492.1664729808251,1066.0,2439.0,3442.0,187.22690296339337,8936.48024404416
161,1723.2922282764555,1315.0,2799.0,3487.0,187.33123028391168,1667.4731861198738
162,1326.2728421052632,891.0,1975.0,2375.0,179.94273684210526,5490.470315789474
163,1694.0286815068494,1226.0,2355.0,2336.0,194.2923801369863,2774.3664383561645
164,1213.8577161619846,683.0,1773.0,2741.0,190.1554177307552,3826.478292593944
165,1256.5292877225868,905.0,1722.0,4268.0,199.84137769447048,4851.13847235239
166,1481.114087673286,1074.0,2217.0,5338.0,196.4108280254777,8593.259460472087
167,1532.787525594582,1071.0,1949.0,6349.0,203.50905654433768,521.7220034651126
168,1751.5864180350682,1385.0,2432.0,3593.0,202.8132479821876,1612.0626217645422
169,1497.2868678283044,1128.0,2070.0,2353.0,200.3633659158521,8338.332766680833
170,1354.550760176557,1000.0,1706.0,2039.0,197.78764100049042,4726.130946542423
171,1671.20172648796,1333.0,2531.0,2201.0,189.47251249432077,2221.851431167651
172,1633.320930232558,1286.0,2180.0,3225.0,199.4706976744186,2172.9621705426357
173,1450.5597345132744,1175.0,2013.0,4068.0,207.98107177974435,180.43928220255654
174,1719.2136594370097,1307.0,2104.0,2167.0,201.13751730503,2405.560221504384
175,1452.8044389642416,1073.0,2139.0,4055.0,206.3533908754624,36.575832305795316
176,1768.4912846998063,1357.0,2483.0,1549.0,197.6384764364106,2437.4105874757906
177,1199.2245965983427,938.0,1652.0,2293.0,200.18142171827301,3975.861317051897
178,1305.863447755564,1007.0,1661.0,2651.0,215.46246699358733,4683.512259524708
179,1714.633189486073,1394.0,2171.0,2549.0,202.24362495096116,2476.0141231855628
180,1217.5513880685173,977.0,1476.0,3386.0,218.33195510927348,7031.474896633195
181,1182.8881469115192,918.0,1893.0,1198.0,197.87562604340567,3933.5884808013357
182,1338.1396371632766,1014.0,1871.0,3638.0,215.26415612974162,5398.672622319956
183,1769.713323124043,1283.0,2778.0,3265.0,211.90658499234303,336.01010719754976
184,1241.6123005060335,911.0,2275.0,2569.0,207.775009731413,6982.714674970805
185,1300.0563306133192,1007.0,1925.0,3799.0,206.62384838115292,5268.4385364569625
186,1288.5451988750501,993.0,1787.0,2489.0,204.61671353957414,5447.50220972278
187,1189.194646397885,908.0,2668.0,3026.0,213.3536021150033,4528.621943159286
188,1699.4856138809575,1272.0,2755.0,4553.0,223.68350538106742,2820.769163189106
189,1482.46528973035,977.0,2356.0,3486.0,225.57200229489385,8298.345094664372
190,1669.6969241443107,1247.0,3353.0,8648.0,239.6431544865865,976.3005319148937
191,1296.467729393468,934.0,2028.0,5144.0,230.35031104199066,6940.964618973561
192,1294.5864175350341,882.0,2739.0,2783.0,217.4189723320158,3887.194035213798
193,1208.4018920812894,852.0,1795.0,2854.0,239.2624386825508,3934.5900490539593
194,1485.7331343283581,1108.0,2193.0,5025.0,238.2115422885572,224.65094527363183
195,1446.4869507763462,1134.0,1923.0,3027.0,222.5176742649488,8437.397423191278
196,1480.4462403373154,1151.0,1961.0,2846.0,228.72628250175686,8930.252635277582
197,1756.3915290978823,1107.0,2600.0,5997.0,232.51609137902284,2045.4407203601802
198,1630.6156198541519,1152.0,2202.0,4251.0,229.15431663138085,2978.315690425782
199,1484.284085275161,1134.0,2085.0,2017.0,218.16807139315816,8391.757064947942
200,1483.094249201278,1080.0,2239.0,1252.0,215.30830670926517,4761.968849840256
201,1512.2777202072539,1180.0,2124.0,965.0,219.05906735751296,136.12331606217617
202,1277.9438314944834,967.0,1574.0,3988.0,245.70586760280844,5289.483199598796
203,1731.8909379337697,1244.0,2501.0,5043.0,253.3753718024985,2476.619670830855
204,1495.9564171122995,1204.0,2231.0,3740.0,229.5831550802139,8756.842513368983
205,1098.6823529411765,773.0,1507.0,2805.0,233.08591800356507,3684.321568627451
206,1469.1148243359041,1070.0,1977.0,4668.0,248.99293059125964,120.92609254498714
207,1502.1709023082303,1082.0,2000.0,4289.0,242.186989974353,284.9815807880625
208,1682.0072349084332,1371.0,2082.0,4423.0,238.2321953425277,1745.4227899615646
209,1276.113009198423,1015.0,1716.0,1522.0,238.87582128777925,9416.494743758212
210,1271.8818244644092,966.0,1720.0,2894.0,251.77988942639945,4717.90808569454
211,1254.267476013315,836.0,1881.0,5107.0,242.95104758175054,4919.329351869982
212,1663.3134590092066,1195.0,2293.0,2281.0,235.31828145550196,2652.3007452871548
213,1614.4163021868787,1090.0,3183.0,2515.0,250.74870775347912,8365.909343936382
214,1129.1040432655163,815.0,1927.0,3883.0,252.9528714911151,3727.10327066701
215,1282.3242040397124,982.0,1741.0,2921.0,247.98870249914413,5456.950701814447
216,1920.5342741935483,1336.0,4080.0,2976.0,249.24529569892474,580.1730510752689
217,1801.4536992840096,1011.0,3345.0,4190.0,250.45608591885443,8196.984248210023
218,1304.045907720844,1004.0,1866.0,4313.0,252.52492464641782,4794.667748666821
219,1769.862076138964,1291.0,3522.0,4807.0,269.46806740170587,427.4129394632827
220,1423.2678861788618,996.0,1841.0,2460.0,255.5268292682927,24.08170731707317
221,1192.4760056457303,872.0,1628.0,2834.0,262.62808750882147,3974.617854622442
222,1622.632851864293,1088.0,2494.0,2977.0,251.48673160900236,8084.505878401075
223,1544.9336670838547,1121.0,2337.0,1598.0,262.75219023779727,8727.747809762202
224,1666.1655979927516,1337.0,2426.0,3587.0,267.9643155840535,2623.67354335099
225,1751.7327293318233,1247.0,2439.0,4415.0,266.7388448471121,2382.665005662514
226,1696.1018766756033,1333.0,2355.0,3730.0,278.6573726541555,2581.313941018767
227,1263.4332129963898,960.0,1757.0,3324.0,259.0661853188929,5209.764741275571
228,1586.9210910862153,1212.0,2192.0,4106.0,267.53994154895275,372.0360448124696
229,1714.5389536212017,1297.0,2648.0,4377.0,268.4304318026045,1684.813799405986
230,1645.3958835121523,1314.0,2231.0,4567.0,271.003941318152,2726.1015984234728
231,1468.8978328173375,985.0,2184.0,5814.0,274.17285861713106,8977.565359477125
232,1308.9584927877538,993.0,2007.0,3397.0,277.6496909037386,5485.571975272299
233,1363.0912295251917,1015.0,1922.0,4823.0,269.3054115695625,5824.647729628861
234,1514.2526501766783,1174.0,2053.0,1132.0,268.9090106007067,8336.378091872792
235,1612.2510099649878,1151.0,2184.0,3713.0,276.57931591704823,507.3854026393752
236,1430.3763702801461,1034.0,1984.0,3284.0,281.76187576126677,8302.700974421437
237,1509.0397239835881,1134.0,2486.0,5362.0,288.8916449086162,7666.823759791123
238,1587.5795280416794,1264.0,2018.0,3263.0,292.63959546429663,561.8915108795587
239,1313.4155942467828,978.0,3345.0,2642.0,287.73769871309617,5177.141937925814
240,1552.9041557469113,899.0,2967.0,2671.0,271.0366903781355,8634.319730438037
241,1567.9594514013118,1058.0,2439.0,1677.0,284.61419200954083,8757.71556350626
242,1617.1588732394366,1094.0,2863.0,3550.0,283.21323943661974,8454.317464788732
243,1624.8711340206185,1120.0,2717.0,4074.0,285.4884634266078,8507.497545409917
244,1563.7218934911243,1125.0,3021.0,3042.0,286.4102564102564,81.43589743589743
245,1136.4521150592216,629.0,1672.0,2955.0,284.52622673434854,4289.2010152284265
246,1260.8132737276478,912.0,1783.0,2908.0,292.5024071526823,4742.13136176066
247,1483.1268551236749,1184.0,1955.0,2830.0,282.2879858657244,9044.786925795053
248,1089.4103329506315,584.0,2027.0,4355.0,296.7180252583238,4243.744431687715
249,1745.4930148715637,1205.0,4096.0,2219.0,300.01712483100494,39.47769265434881
250,1568.4429065743946,1150.0,2370.0,1734.0,285.52076124567475,8792.407727797001
251,1567.8753876515366,1121.0,2349.0,3547.0,294.5765435579363,8063.337186354666
252,1640.7680024103645,1243.0,2032.0,3319.0,304.1271467309431,2764.081349804158
253,1300.6532451923076,664.0,2271.0,1664.0,283.8203125,4012.908653846154
254,1188.3304157549235,773.0,1607.0,5027.0,296.3387706385518,4443.6007559180425
255,1372.2958919850619,984.0,4194.0,3481.0,292.91037058316573,4902.77075553002
256,1249.8717413972888,913.0,1853.0,1918.0,290.42335766423355,4571.687174139729
257,1221.9349732099367,838.0,2512.0,4106.0,302.46492937165124,4100.975158304919
258,1396.0474868092197,967.0,2014.0,3601.0,317.9641766176062,5785.404609830603
259,1142.8892221984145,864.0,1591.0,4667.0,308.4223269766445,3844.0756374544676
260,1339.212096444626,1030.0,1836.0,2447.0,298.42827952595013,5739.413976297507
261,1262.6105195224266,1020.0,2041.0,3099.0,311.6105195224266,4794.10906744111
262,1330.8459799806265,1014.0,3215.0,3097.0,302.9015175976752,5942.2021310946075
263,1623.8766057535734,1240.0,2637.0,5527.0,316.89126108196126,8129.233761534286
264,1170.2041621815572,914.0,1460.0,2787.0,300.3372802296376,4345.480444922856
265,1754.098436298385,1388.0,2527.0,3901.0,315.15585747244296,1716.3852858241476
266,1864.9332243118015,1057.0,2825.0,3669.0,309.8073044426274,2054.2790951212864
267,1300.9496484463598,928.0,2226.0,4409.0,315.4565661147653,3925.2567475618052
268,1204.596196868009,920.0,1828.0,5364.0,315.8661446681581,4523.010253542133
269,1424.0695413758724,1000.0,2706.0,4012.0,320.9581256231306,5439.565054835493
270,1196.0162671232877,806.0,1660.0,2336.0,309.77782534246575,4191.171660958904
271,1445.5558748403575,1072.0,2005.0,3132.0,317.52905491698596,9079.919859514686
272,1314.182186234818,969.0,2319.0,4693.0,320.6888983592585,5856.821223098232
273,1202.293235972329,924.0,1749.0,2602.0,316.46464258262876,4150.021521906226
274,1456.220220878254,1031.0,2093.0,7606.0,333.12713647120694,150.95990007888508
275,1181.1781841377845,756.0,1772.0,4703.0,325.1443759302573,4032.2666383159685
276,1267.8308001147118,927.0,2754.0,3487.0,331.83739604244334,4953.95124749068
277,1459.049003516999,1177.0,1998.0,4265.0,319.6107854630715,8413.85017584994
278,1542.6040228159711,1190.0,2239.0,3331.0,313.9222455719003,7998.18342839988
279,1366.8119319505943,981.0,3246.0,4291.0,323.25378699603823,6042.460731764158
280,1464.3796417649628,1146.0,2287.0,4578.0,333.3765836609873,9124.583005679337
281,1245.7295205738014,943.0,2266.0,5298.0,328.1674216685542,6875.603435258588
282,1251.3123822975517,934.0,2199.0,4248.0,337.38064971751413,5714.457627118644
283,1767.9757423672104,1424.0,2769.0,4782.0,325.81534922626514,1832.9203262233375
284,1341.2779419005417,926.0,2245.0,4062.0,330.2146725750862,5388.003200393895
285,1415.0371368673254,976.0,2526.0,6678.0,335.403414195867,7064.15708295897
286,1740.0031282586026,1349.0,2483.0,5754.0,337.2641640597845,2354.399721932569
287,1313.2088881203529,1041.0,2430.0,5783.0,330.3581186235518,5303.670932042192
288,1275.3007494297817,939.0,2167.0,3069.0,319.1948517432388,6960.113717823395
289,1264.3557046979865,942.0,2123.0,5215.0,334.5330776605944,5641.9284755512945
290,1307.8247826086956,987.0,1706.0,2300.0,329.8473913043478,4720.143043478261
291,1307.0841520717643,636.0,2200.0,2341.0,332.6651003844511,5192.394275950449
292,1375.6352034033503,943.0,2078.0,3761.0,337.4575910662058,5989.574049454932
293,1686.9997647058824,1197.0,3034.0,4250.0,329.364,310.31129411764704
294,1496.7555944055944,1175.0,2237.0,2860.0,340.7076923076923,7708.477972027972
295,1495.7818050018122,965.0,2398.0,5518.0,338.5527364987314,8923.410837259877
296,1302.7731367731367,927.0,2095.0,3663.0,332.5899535899536,6294.048321048321
297,1715.6110913615357,1350.0,2171.0,2813.0,341.07287593316744,1753.1734802701742
298,1151.8722014925372,858.0,2023.0,7504.0,351.5485074626866,3747.58328891258
299,1506.3690533397405,1152.0,1954.0,2081.0,326.9778952426718,7747.4584334454585
300,1253.6371656232213,976.0,2041.0,3514.0,342.3599886169607,4895.453044963005
301,1701.2166787177632,1310.0,2131.0,4149.0,340.4167269221499,2524.3215232586167
