,intensity_mean,intensity_min,intensity_max,area,centroid-0,centroid-1
0,1646.2740046838408,1243.0,2267.0,854.0,9.217798594847775,23.1768149882904
1,1657.8649699540474,1174.0,2550.0,2829.0,21.315659243548957,194.07811947684695
2,1555.305112881806,1176.0,1913.0,3012.0,19.198207171314742,305.4996679946879
3,1683.0588235294117,1302.0,2525.0,1819.0,17.49202858713579,668.3496426608026
4,2024.9901408450705,1596.0,4271.0,2130.0,15.444131455399061,2061.6028169014085
5,1985.8791060850835,1452.0,2704.0,3714.0,27.20490037695207,2115.878298330641
6,2209.145672664953,1660.0,2880.0,1167.0,9.234790059982862,2200.890317052271
7,1883.9752440725244,1500.0,2895.0,2868.0,19.965829846582984,2567.1464435146445
8,1329.3512162612462,990.0,1720.0,3001.0,22.615461512829057,3821.022659113629
9,1673.8584585555018,1070.0,4582.0,2063.0,17.504604944255938,3964.4381968007756
10,1334.6279279279279,1033.0,1616.0,1110.0,10.836036036036036,4064.9234234234236
11,1421.9224610198062,1156.0,2479.0,2373.0,18.223767383059418,4466.6443320691105
12,1375.4715596330275,1072.0,1773.0,3815.0,25.75832241153342,4615.758584534731
13,1443.3604852686308,1092.0,2439.0,3462.0,21.442807625649912,5151.01993067591
14,1670.2186953989517,1289.0,2781.0,3434.0,23.240827023878857,5227.6057076295865
15,1499.093690248566,1201.0,1965.0,2615.0,17.763288718929253,7161.980114722754
16,1669.6211665664462,1311.0,2629.0,1663.0,15.225496091401082,7744.485267588695
17,1645.7073070607553,1252.0,2264.0,2436.0,19.796387520525453,7796.415845648604
18,1664.0842299415924,1236.0,1936.0,3253.0,21.723639717184138,8735.443590531817
19,1831.946540880503,1493.0,2573.0,1272.0,10.822327044025156,8917.494496855346
20,1599.7075492104693,835.0,2266.0,4623.0,31.645252000865238,9194.528012113346
21,1370.0480815930064,1000.0,1944.0,2059.0,24.867897037396794,4035.651772705197
22,1704.7805812119848,1234.0,3185.0,4439.0,33.26785312007209,8462.857400315386
23,4429.8135996195915,1442.0,18957.0,2103.0,14.877793628150261,9102.416072277698
24,1392.7345517841602,1162.0,1595.0,1149.0,14.696257615317668,4517.524804177546
25,1394.700643776824,1066.0,2402.0,2796.0,23.25250357653791,4409.176680972819
26,2114.189929742389,1603.0,3634.0,4270.0,29.083372365339578,2257.292037470726
27,1418.497114274721,1143.0,1715.0,2599.0,28.85686802616391,4558.51058099269
28,1586.7910079051383,955.0,4263.0,2024.0,21.591403162055336,3914.941699604743
29,1771.8856121537087,1181.0,2658.0,3357.0,23.7226690497468,725.5177241584748
30,1495.1271186440679,1194.0,1833.0,2832.0,23.29484463276836,7265.556144067797
31,1458.4290830945558,1080.0,1684.0,1396.0,23.265759312320917,9417.32664756447
32,1658.4473104056437,1238.0,2562.0,4536.0,34.348324514991184,7375.983465608466
33,1740.7846291331546,1221.0,3800.0,2238.0,27.57864164432529,8410.7363717605
34,1830.045436664044,1337.0,9917.0,5084.0,35.30035405192761,8658.527537372149
35,2512.8201701093562,1376.0,6547.0,1646.0,25.789793438639126,7701.037059538275
36,1415.2582978723403,1032.0,4740.0,2350.0,43.35617021276596,4004.634468085106
37,2552.2502306273063,1060.0,28076.0,4336.0,35.36669741697417,9016.638376383764
38,1664.1768879878357,1356.0,2243.0,1973.0,45.84845413076533,15.985301571211354
39,1893.681984109942,1294.0,2417.0,4657.0,41.3766373201632,2630.4434185097703
40,2067.0313621764594,1522.0,3157.0,5293.0,51.97430568675609,2175.667674286794
41,8154.187379265937,1635.0,33214.0,3106.0,31.582099162910495,8926.810367031552
