"","actin","cd3","cd4","cd45","cd45ro","collageni","cytokeratin","fibulin2","lyve1","podoplanin","cd38","cd138","area","X_coord","Y_coord","InferredCellType"
"1",-0.391226549963486,-0.165082118212147,-0.920585003019571,-0.477545379522193,-0.788240452131823,0.17010981450518,-0.689361856649474,0.0534971477106836,0.0603016163089347,-0.0626706393011843,-1.16530132881294,-0.145647262691905,854,23.1768149882904,9.21779859484777,"Other"
"2",-0.208990208278097,-0.0690536797965661,0.473330285424875,-0.612225721276309,2.18747232711315,1.17191013365728,-0.7154402591122,0.114107110383335,0.0676991646008242,-0.838565881998919,-0.112118115740888,-0.303088188618449,2829,194.078119476847,21.315659243549,"Mixed"
"3",-0.61918296323779,0.457232047623892,1.5715665732902,0.237064493516437,0.515642334238209,0.0655741290284392,-0.44044800141904,-0.274373888461376,0.666900576243878,0.327928629979637,2.2426240181527,-0.0965592173459865,3012,305.499667994688,19.1982071713147,"Other"
"4",-0.225088825034756,0.00826791996662917,-0.691741219569543,-0.832337623098335,-0.584450187102537,0.430577897484725,-0.337213497876937,0.184337702051646,0.289625613357511,2.51265594782839,-0.638709722276911,0.236880310186656,1819,668.349642660803,17.4920285871358,"Mixed"
"5",0.899238569250369,0.22838505477637,-0.794934794816869,-0.792134536007554,-0.854653048356873,-0.903123223056023,-0.390269558059725,-0.495263530201707,0.247706173036803,-0.1060193185366,-1.53763882838386,0.31739667724795,2130,2061.60281690141,15.4441314553991,"Other"
"6",-0.109822729057072,0.830745259383198,0.567968952879677,0.16871924546211,-0.127328002601891,-0.792489622593139,-0.212217017107319,-0.110438370375346,0.415383934319633,1.17691712436688,-0.622752400866729,0.751406834269792,3714,2115.87829833064,27.2049003769521,"Other"
"7",0.00351153290981377,0.270787222388445,-0.582131463477824,-0.801180230602979,-0.602392299792369,-0.513727794655164,-0.376600878148227,-0.346528605928819,0.326613354816959,0.219326353810058,-1.01636632898456,0.519435888275359,1167,2200.89031705227,9.23479005998286,"Other"
"8",0.0131707029638097,2.18572024377539,1.97030654804586,2.01000254283068,0.996330278689678,-0.699278636376379,-0.227864058584955,-0.61763793102649,0.326613354816959,0.855491279397889,-0.447221865354721,0.300934223016087,2868,2567.14644351464,19.965829846583,"T-cells CD4+ (helper)"
"9",-0.743464284599204,-0.712568929438643,-0.73558512200623,-0.768012683753085,-0.924011364575776,-0.270682325921743,-0.527855612432039,-0.60493870075222,-0.479719408999003,0.241231271508805,-1.14934400740275,0.146187153236575,3001,3821.02265911363,22.6154615128291,"Other"
"10",1.09950536170322,2.18572024377539,1.97030654804586,-0.219240544963926,0.718897013814067,-0.114749928418938,-0.55177580227716,-0.268024273324241,1.01458534596269,1.73168798734778,-0.92062240052347,0.841202039170863,2063,3964.43819680078,17.5046049442559,"T-cells Mixed"
"11",-0.810434530306909,-0.952016464189183,1.37373433058807,1.96378708406548,-0.19641852609408,-0.617392349419599,-0.9050032673585,-0.812744287058455,-0.6942483094638,0.254835378290132,-0.558923115225999,0.119547909115924,1110,4064.92342342342,10.836036036036,"Other"
"12",-0.254710279867011,-0.740005626128809,-0.567160374840906,-0.762987297866737,-0.466621387348416,-0.647881924350315,1.05465378942677,-0.61282761652866,2.29736707091552,1.45199677504693,1.58467706087519,2.53758790750452,2373,4466.64433206911,18.2237673830594,"Epithelial cells"
"13",-0.709335217075085,-0.758088903492782,-0.526524562826415,-0.699667435698758,-0.0151228501087626,-0.844757465331509,-0.49332421055036,-0.741551632490578,1.58912826329944,1.12918746159171,-0.925941507660197,-0.188748961044419,3815,4615.75858453473,25.7583224115334,"Other"
"14",-0.280468066677666,-0.575385445987812,-0.843590832886851,-0.445382909849568,1.07479354761685,-0.440552814821446,-0.238295419570045,-0.673052754041486,0.96773420678072,1.82161343895317,-0.862112222019467,0.417967306737149,3462,5151.01993067591,21.4428076256499,"Other"
"15",-0.0602389894465593,-0.740629187417222,-0.653778816240216,-0.534834778626556,1.21913382731565,0.177078860203629,-0.397823302221342,-0.159503578253207,0.6274469853538,2.73192232936819,-0.0748843657837951,2.09115129139377,3434,5227.60570762959,23.2408270238789,"Mixed"
"16",-0.585697840383937,-0.752476851897066,-0.651105407555052,-0.587098791844571,2.09320928730986,0.206697304422039,-0.498360039991438,-0.609556602670136,-0.299712400563024,1.50802724873952,-0.606795079456546,0.663108216117073,2615,7161.98011472275,17.7632887189293,"T-cells Mixed"
"17",-0.158118579327051,0.183488642010644,-0.75483366453941,2.01000254283068,-0.118490842620332,0.476747825236952,-0.786121722338762,0.216278190317234,-0.0383323609162593,-0.850325364131931,1.14851027566353,-0.62096321396824,1663,7744.4852675887,15.2254960914011,"Mixed"
"18",-0.393158383974285,-0.429472104499202,-0.71045508036569,2.01000254283068,-0.584450187102537,-0.763742309087035,-0.479475679587395,-0.349607207207429,0.573198297879944,0.829666534321471,-0.723815436464552,-0.0292128136701833,2436,7796.4158456486,19.7963875205255,"T-cells Mixed"
"19",-0.604372235821663,-0.175682660115166,-0.605657459907266,-0.545890627576521,-0.733075150428757,-0.931870536562126,-0.786661275493163,-0.684597508836277,0.817317391512299,-0.770775926173322,-0.537646686679089,-0.549725684746724,3253,8735.44359053182,21.7236397171841,"Other"
"20",-0.194179480861969,0.939244923567036,0.897332902891867,-0.503677386131201,1.86665664050989,0.323428819871066,-0.455375638690807,0.399454966394582,0.496756965530418,1.67427404516896,-1.07487650748857,1.32908931913335,1272,8917.49449685535,10.8223270440252,"Mixed"
