 ,Area,Mean,Min,Max
1,22.976,251.274,126,651
2,78.926,237.901,56,504
3,84.128,240.302,37,1362
4,49.939,166.642,36,285
5,93.925,295.389,55,1279
6,59.129,163.797,49,338
7,103.809,236.582,68,1294
8,31.617,194.141,62,314
9,120.108,235.679,65,946
10,80.024,1390.650,50,11011
11,83.983,149.674,28,362
12,56.297,175.783,72,327
13,57.020,279.180,60,908
14,57.251,418.036,42,2316
15,29.969,694.332,65,3080
16,78.001,475.358,47,3881
17,65.834,215.270,79,367
18,31.357,226.360,113,385
19,72.221,276.087,111,732
20,106.988,167.798,0,430
21,96.873,268.249,29,683
22,96.237,215.329,62,594
23,72.163,190.634,54,536
24,79.186,362.600,67,3477
25,127.854,209.346,18,759
26,46.038,177.881,0,395
27,45.200,948.685,93,12512
28,67.742,6632.534,188,22109
29,62.135,190.148,52,484
30,124.617,170.406,25,691
31,143.315,180.070,16,487
32,91.035,219.458,72,583
33,34.767,261.624,94,625
34,122.305,176.379,46,666
35,58.089,258.486,61,856
36,130.050,523.021,1,3453
37,38.004,125.488,0,344
38,131.235,1183.897,114,17941
39,86.122,245.269,73,1627
40,107.479,156.422,8,293
41,110.600,144.011,13,354
42,101.873,175.300,62,292
43,149.586,299.494,49,1240
44,65.603,248.456,48,864
45,140.685,167.135,4,318
46,78.232,191.317,52,390
47,54.910,189.832,6,607
48,64.303,176.888,24,333
49,88.550,9199.149,208,35196
50,118.346,305.014,39,4988
51,107.913,292.330,71,969
52,71.210,250.819,49,691
53,95.226,155.608,31,324
54,99.185,3438.559,85,23012
55,121.958,422.249,73,1434
56,157.447,163.342,13,339
57,27.773,187.139,83,311
58,47.223,261.752,42,722
59,75.574,161.001,42,293
60,116.380,230.403,61,3662
61,91.555,179.655,0,395
62,94.821,695.632,102,2413
63,100.081,3434.606,166,13523
64,70.054,1264.820,114,8918
65,117.883,318.607,35,2154
66,136.697,167.217,0,349
67,132.160,156.574,42,374
68,159.933,120.985,5,348
69,112.623,169.871,3,429
70,25.172,185.231,17,680
71,62.222,374.625,100,2012
72,59.563,199.985,79,403
73,73.435,138.323,0,286
74,65.834,317.122,51,786
75,157.881,179.407,15,368
76,90.688,555.050,83,1538
77,82.163,142.453,24,546
78,107.450,173.367,17,377
79,116.034,185.570,13,444
80,73.666,244.116,86,1288
81,99.272,252.630,0,650
82,119.097,237.369,76,642
83,108.317,173.013,0,429
84,106.959,491.434,45,14182
85,76.152,1848.344,115,27877
86,58.436,278.180,67,789
87,113.317,237.918,74,780
88,122.507,169.915,16,346
89,65.198,1652.194,65,6568
90,85.139,140.882,28,555
91,38.755,750.537,104,1996
92,59.361,171.286,17,505
93,113.172,230.061,51,765
94,74.562,187.999,65,552
95,120.224,206.164,55,563
96,80.284,217.224,47,379
97,50.546,725.042,111,5348
98,182.504,253.674,39,1248
99,74.707,142.019,30,359
100,82.596,324.645,93,684
101,99.647,164.287,5,1135
102,202.762,206.051,0,1778
103,69.505,808.297,106,3703
104,95.312,202.091,26,453
105,65.603,160.008,34,310
106,110.369,258.345,59,501
107,108.953,188.640,64,403
108,114.242,6637.128,158,44961
109,128.085,145.766,10,461
110,53.841,176.478,75,356
111,142.275,139.935,16,312
112,139.500,164.162,2,385
113,81.527,293.550,35,1354
114,97.884,198.147,35,522
115,113.577,204.982,12,645
116,99.387,191.042,18,443
117,81.787,207.985,32,2577
118,73.406,163.941,2,1721
119,73.579,230.455,6,2795
120,66.470,346.023,89,819
121,66.297,174.017,21,406
122,99.214,166.409,42,321
123,80.804,169.280,40,321
124,41.558,156.079,0,835
125,89.388,357.554,29,1188
126,132.824,204.218,23,479
127,111.988,137.313,12,428
128,118.981,180.372,51,331
129,150.511,178.482,46,353
130,83.088,206.652,80,399
131,91.642,180.943,28,333
132,127.362,203.830,51,431
133,150.396,395.153,102,931
134,89.041,865.984,70,15377
135,52.107,222.505,85,408
136,115.571,298.494,64,707
137,130.223,192.015,68,485
138,105.919,155.854,17,507
139,100.312,226.133,67,583
140,79.273,190.604,66,454
141,109.358,437.389,48,11221
142,122.536,234.004,22,707
143,111.930,212.523,63,538
144,107.132,270.192,26,1342
145,66.875,213.885,51,1667
146,122.565,244.003,0,2808
147,89.041,1158.218,120,5529
148,129.154,165.530,46,421
149,93.174,145.873,0,581
150,112.016,276.961,31,926
151,128.634,143.515,11,276
152,86.758,162.056,12,410
153,94.879,146.508,37,336
154,128.287,3521.542,94,16522
155,101.034,175.093,0,1004
156,77.047,205.835,64,339
157,50.113,190.753,32,384
158,71.932,195.716,43,366
159,55.199,206.938,8,874
