 ,Area,Mean,Min,Max
189,128.258,417.789,0,1493
190,97.827,687.534,114,5010
191,245.881,582.038,78,3567
192,145.338,373.365,92,793
193,77.741,405.990,33,924
194,141.552,553.861,93,1513
195,84.793,350.361,84,819
196,169.845,1269.317,113,3736
197,119.935,395.407,54,1236
198,55.777,499.070,143,1756
199,34.709,409.193,160,830
200,104.791,383.732,56,1026
201,78.666,401.869,19,1271
202,26.155,584.333,277,1145
203,120.947,424.386,0,984
204,124.588,356.317,89,1024
205,80.169,448.951,124,1012
206,79.620,1738.474,149,6288
207,111.670,781.692,106,1753
208,144.067,345.962,72,756
209,131.466,657.435,107,1562
210,63.551,436.342,28,1424
211,109.069,365.215,71,886
212,41.443,301.962,47,1045
213,82.972,400.408,117,961
214,81.989,322.331,0,700
215,118.143,424.222,94,1006
216,70.516,1714.864,167,7478
217,121.236,396.481,94,1072
218,80.949,558.648,173,1081
219,142.159,2078.138,148,9428
220,135.397,462.718,89,1424
221,83.203,466.817,85,1229
222,100.370,351.591,0,832
223,124.501,2847.661,227,8035
224,79.042,564.731,75,1773
225,68.955,925.991,214,2550
226,92.942,350.057,112,1742
227,115.195,476.779,0,1410
228,123.576,371.194,121,759
229,128.721,400.011,106,801
230,164.412,628.704,50,3362
231,104.734,368.437,112,726
232,95.023,320.601,0,713
233,136.090,713.463,4,2178
234,104.069,1239.899,0,10575
235,44.477,343.140,0,699
236,151.638,366.293,53,1263
237,74.822,291.937,0,856
238,99.156,390.031,13,1082
239,30.865,1935.146,257,5819
240,114.878,540.291,0,1592
241,91.844,615.086,90,4066
242,74.186,355.474,42,775
243,92.220,501.401,21,3460
244,85.457,396.438,0,1534
245,82.914,314.516,52,724
246,79.417,704.952,120,2060
247,122.160,434.498,42,1220
248,48.205,368.182,89,784
249,45.922,311.741,6,804
250,99.503,1054.211,118,3959
251,93.087,354.584,0,755
252,46.356,362.615,49,854
253,141.783,310.761,0,842
254,81.093,396.185,79,1002
255,97.769,346.808,64,803
256,61.557,566.255,82,1868
257,53.205,324.714,94,865
258,115.629,329.037,0,1042
259,100.659,445.160,116,1636
260,131.611,504.977,55,1602
261,67.799,342.544,61,691
262,87.076,362.980,86,804
263,155.973,655.584,172,3013
264,78.059,506.570,67,2105
265,109.762,458.283,124,850
266,103.318,782.500,301,1553
267,124.415,449.830,59,1126
268,151.638,326.723,0,959
269,113.115,367.452,35,1109
