 ,Area,Mean,Min,Max
9508,41.240,1468.793,1193,1966
9509,107.739,1768.330,1169,4649
9510,87.885,1847.918,1354,8813
9511,102.653,1648.617,1100,2747
9512,63.233,1995.835,1022,6461
9513,113.433,2036.936,1055,4533
9514,43.321,1558.093,1040,3224
9515,163.198,1686.919,1232,2774
9516,42.570,1565.812,1215,2518
9517,105.716,1787.370,1446,3371
9518,29.016,1467.925,1121,2148
9519,125.513,1749.794,1045,3819
9520,147.939,4704.210,1262,52139
9521,90.226,1690.851,1317,2252
9522,177.995,2204.142,1202,8425
9523,121.756,1816.699,1310,4249
9524,122.305,3069.450,1349,9179
9525,113.028,3758.813,1348,7592
9526,30.605,1507.929,1258,2119
9527,56.644,1523.121,1264,2047
9528,25.172,1583.644,1313,1869
9529,133.547,1506.322,1110,1956
9530,69.880,1339.950,1021,1697
9531,101.959,1601.893,1177,2153
9532,68.204,2054.863,1342,3645
9533,59.129,1681.923,1379,2266
9534,63.147,1503.787,466,2005
9535,99.618,1567.748,1176,3804
9536,136.177,2144.328,1309,6352
9537,227.038,2522.253,1346,9938
9538,61.557,1482.277,1126,2148
9539,128.634,1772.739,1302,2690
9540,65.430,1376.992,356,1776
9541,121.467,15996.452,2579,59770
9542,86.440,7501.236,1480,22027
9543,56.182,1837.144,1251,3273
9544,38.148,1389.303,1115,1640
9545,55.546,1659.251,1238,2765
9546,137.102,1389.031,131,3968
9547,95.919,1657.428,1216,3032
9548,30.634,1577.023,1345,1857
9549,132.362,2584.976,1157,11852
9550,117.652,1621.711,1322,2398
9551,128.229,1552.375,1177,2484
9552,117.796,1440.202,264,1994
9553,124.530,1575.636,1219,3281
9554,95.804,1655.761,1169,2620
9555,100.630,1709.460,1291,3212
9556,20.635,1564.737,1252,2039
9557,46.124,1463.951,1129,2050
9558,121.698,4684.930,1331,38761
9559,72.106,1511.062,1147,2390
9560,81.758,2383.351,1316,11329
9561,79.157,1686.288,1229,2363
9562,154.817,1707.226,1250,6651
9563,55.546,1263.768,960,2152
9564,104.300,1535.149,1184,2038
9565,168.169,1571.404,1027,4038
9566,130.339,926.648,116,1612
9567,81.903,1629.170,406,3285
9568,16.704,1444.388,1262,1647
9569,66.441,1439.746,958,1934
9570,44.679,1953.352,1257,3940
9571,64.014,2081.086,1320,3584
9572,53.523,1605.319,1344,1951
9573,102.826,1408.477,1141,2036
9574,136.148,1833.791,1171,7783
9575,81.065,1579.698,1284,2970
9576,81.151,1482.773,1003,2128
9577,97.364,4512.122,1093,57598
9578,85.400,2637.346,1384,7493
9579,47.223,1528.201,1193,2005
9580,69.216,1548.876,1214,2269
9581,150.222,1679.503,1271,2585
9582,77.943,1586.151,1046,3071
9583,74.302,1591.988,1342,2902
9584,122.103,1726.280,1150,3719
9585,123.894,2291.996,1221,5155
9586,66.990,1076.535,127,1726
9587,60.343,1563.856,1291,1926
9588,97.538,1613.807,232,3076
