 ,Area,Mean,Min,Max
1,22.976,5681.389,4330,7279
2,78.926,5858.644,3967,7433
3,84.128,6244.623,4931,8277
4,49.939,6304.608,4644,7557
5,93.925,7431.315,4516,12780
6,59.129,6899.096,6039,7910
7,103.809,7131.309,5718,8876
8,31.617,6850.411,5458,7978
9,120.108,6987.581,5331,8354
10,80.024,7836.471,5699,11952
11,83.983,4687.731,3538,6401
12,56.297,4712.803,3368,5769
13,57.020,6183.337,3542,12874
14,57.251,4903.415,3596,6534
15,29.969,4752.400,3816,6017
16,78.001,4955.933,3790,5979
17,65.834,5234.170,3903,6357
18,31.357,5416.834,4597,6414
19,72.221,5332.780,3994,6607
20,106.988,4883.496,3763,6328
21,96.873,5022.061,3766,6621
22,96.237,5265.004,4163,6356
23,72.163,5310.413,4195,6337
24,79.186,5301.077,4379,6282
25,127.854,5515.787,4429,6884
26,46.038,5450.070,4513,6716
27,45.200,5842.069,4742,7838
28,67.742,5664.577,4485,6855
29,62.135,5919.678,4448,7762
30,124.617,5943.921,4706,7747
31,143.315,5887.423,3419,7273
32,91.035,5949.144,4813,7262
33,34.767,6587.177,5123,9050
34,122.305,5847.935,4015,8384
35,58.089,6037.246,4695,7840
36,130.050,6504.964,3478,10732
37,38.004,5158.744,3935,6451
38,131.235,6868.834,4303,8880
39,86.122,5932.065,4604,7487
40,107.479,6319.165,4479,7840
41,110.600,6665.352,4767,9807
42,101.873,4711.463,3664,5975
43,149.586,7007.990,4922,8906
44,65.603,4710.546,3780,5932
45,140.685,6530.910,4470,8661
46,78.232,5581.105,4441,7371
47,54.910,5659.362,4159,6931
48,64.303,6603.569,4199,9848
49,88.550,6889.146,5350,8832
50,118.346,7049.683,5566,9395
51,107.913,5419.437,4302,7064
52,71.210,7036.056,4849,12500
53,95.226,5480.938,4170,6899
54,99.185,6675.449,4273,11903
55,121.958,5491.531,3850,7306
56,157.447,5812.283,4518,7226
57,27.773,5169.820,4334,6225
58,47.223,5633.458,4754,6747
59,75.574,6563.209,5105,8727
60,116.380,4989.595,3532,7062
61,91.555,5310.847,3711,7059
62,94.821,5943.871,4242,7762
63,100.081,8499.785,5578,13550
64,70.054,6039.027,4348,8282
65,117.883,7053.951,5196,8728
66,136.697,4728.451,3550,6864
67,132.160,5898.115,4651,7606
68,159.933,6228.821,5021,7593
69,112.623,6288.591,4378,7802
70,25.172,5766.281,4682,6824
71,62.222,5273.789,4313,6373
72,59.563,7006.306,5380,8454
73,73.435,5727.931,4461,7709
74,65.834,5087.105,4084,6265
75,157.881,5107.941,3916,6596
76,90.688,7617.046,4876,12094
77,82.163,6295.324,5237,7368
78,107.450,5653.262,4414,7162
79,116.034,5927.177,4806,7236
80,73.666,6820.423,4979,11646
81,99.272,5591.053,3373,11811
82,119.097,7007.646,4544,8624
83,108.317,5736.486,3285,7571
84,106.959,6667.199,4953,7995
85,76.152,6888.075,5346,7997
86,58.436,6685.528,4698,13236
87,113.317,5363.333,4187,7172
88,122.507,5037.720,3775,6805
89,65.198,5651.283,4033,8474
90,85.139,5862.942,4311,7826
91,38.755,8258.676,5085,16518
92,59.361,5573.309,4546,6836
93,113.172,7117.104,5400,8456
94,74.562,5803.750,4773,6866
95,120.224,4815.106,3701,5959
96,80.284,5649.562,4281,6863
97,50.546,7308.424,5619,10605
98,182.504,5059.515,3572,6519
99,74.707,5075.729,4140,6241
100,82.596,5487.876,4376,7011
101,99.647,6514.627,3969,9826
102,202.762,6790.235,5390,9231
103,69.505,7164.869,5529,8581
104,95.312,5752.469,4106,7016
105,65.603,5967.279,4470,7047
106,110.369,5396.078,4209,6778
107,108.953,5099.677,3819,6588
108,114.242,5360.260,4337,6738
109,128.085,5861.456,4513,7918
110,53.841,4823.342,3721,6020
111,142.275,5914.624,4850,7179
112,139.500,5955.176,4574,7141
113,81.527,7539.585,5145,14719
114,97.884,5469.394,1960,6599
115,113.577,6808.564,4759,11978
116,99.387,6959.280,5680,8440
117,81.787,5874.934,4964,7170
118,73.406,5889.908,4475,7169
119,73.579,6018.878,5187,7037
120,66.470,4727.977,3553,5811
121,66.297,6636.826,4888,8208
122,99.214,4724.662,3758,6010
123,80.804,5693.163,4427,7640
124,41.558,5021.526,4113,5998
125,89.388,7814.703,5657,12497
126,132.824,4504.585,3340,5628
127,111.988,6389.859,4980,8989
128,118.981,6082.107,5000,7358
129,150.511,5040.279,4093,6294
130,83.088,5840.789,4758,6995
131,91.642,6817.798,5499,8105
132,127.362,5460.663,4041,6857
133,150.396,7478.269,5016,10708
134,89.041,6236.364,4739,10294
135,52.107,6174.176,5126,7519
136,115.571,6098.295,5050,7295
137,130.223,6965.300,5181,8290
138,105.919,4651.612,3559,5874
139,100.312,6669.796,5038,8344
140,79.273,4862.150,3539,8205
141,109.358,5214.831,4127,6338
142,122.536,6962.886,5332,9353
143,111.930,5024.053,3853,6188
144,107.132,5944.223,4647,7446
145,66.875,5232.521,4052,6366
146,122.565,4837.191,1429,7924
147,89.041,7225.364,5887,9701
148,129.154,5809.866,4082,8254
149,93.174,5894.605,4322,7615
150,112.016,5267.120,3715,6463
151,128.634,5649.093,4401,6885
152,86.758,5442.431,4455,6471
153,94.879,5802.120,4439,7268
154,128.287,5287.283,3882,6624
155,101.034,5736.663,4282,7916
156,77.047,6159.534,4850,7970
157,50.113,5637.282,3839,7006
158,71.932,5725.335,4299,7122
159,55.199,5358.075,4214,7494
160,98.116,6950.521,5566,8244
161,66.297,5268.605,4185,7183
162,120.224,4965.446,3581,6284
163,150.800,5993.554,4520,7281
164,96.382,8524.258,4132,15175
165,179.960,6262.989,4613,7640
166,61.384,6796.248,5213,7985
167,65.054,6855.411,5072,8573
168,71.383,4545.456,3440,5640
169,76.585,4645.236,3629,6420
170,114.415,5926.203,4618,7258
171,89.966,6785.608,5358,8015
172,59.736,7255.202,5461,9066
173,114.300,6410.772,4523,11968
174,42.772,7475.379,5732,9173
175,100.890,6896.374,5798,8203
176,63.898,4748.950,3840,5695
177,65.690,6198.275,4494,7795
178,70.892,7515.532,5993,14096
179,56.615,5103.587,4165,6549
180,102.046,5225.760,4003,6869
181,91.671,6333.575,4512,8061
182,71.441,5070.419,3773,6229
183,107.075,5304.305,4143,6639
184,69.620,5167.729,4109,6250
185,95.023,5132.946,4088,6212
186,32.484,4770.911,3578,6285
187,84.822,5211.087,3727,10662
188,74.244,5027.852,4062,5952
189,128.258,6815.988,5044,8605
190,97.827,6059.024,4624,7902
191,245.881,6800.974,5275,8254
192,145.338,5163.441,3596,7042
193,77.741,4673.625,2821,5721
194,141.552,6100.702,4221,7808
195,84.793,5885.171,4746,7076
196,169.845,7428.994,5684,10093
197,119.935,6667.468,4325,8159
198,55.777,5995.313,4616,7577
199,34.709,5024.127,4034,6004
200,104.791,5939.373,4567,7245
201,78.666,4526.305,3490,5465
202,26.155,5934.691,4313,6852
203,120.947,6126.464,4207,8023
204,124.588,6928.685,5684,8258
205,80.169,4890.552,3853,6204
206,79.620,6995.907,4791,10459
207,111.670,5313.490,4103,6492
208,144.067,4992.528,3885,6202
209,131.466,5875.925,4153,7710
210,63.551,6803.307,5092,8666
211,109.069,4540.598,3489,5752
212,41.443,5262.698,4201,6901
213,82.972,6499.128,5293,7672
214,81.989,5121.280,3987,6331
215,118.143,5910.240,4207,7129
216,70.516,6854.445,4877,9744
217,121.236,5098.578,3987,6052
218,80.949,5226.955,4083,6336
219,142.159,8794.316,5542,15699
220,135.397,6300.496,4539,8019
221,83.203,5930.465,4436,7891
222,100.370,6923.748,5222,8973
223,124.501,8446.837,6026,12763
224,79.042,4929.308,3758,6290
225,68.955,5742.381,3916,7345
226,92.942,5058.891,4086,6525
227,115.195,6218.494,4276,8051
228,123.576,6926.110,5032,8294
229,128.721,6825.806,5171,8373
230,164.412,5995.179,4025,8414
231,104.734,6992.196,5695,8315
232,95.023,5110.629,4155,6257
233,136.090,5327.121,4236,6816
234,104.069,6589.327,5341,12009
235,44.477,5944.147,4673,7897
236,151.638,5687.575,4188,6909
237,74.822,6115.896,4604,8644
238,99.156,5980.167,4802,7158
239,30.865,6750.792,4993,9498
240,114.878,6068.807,4805,7234
241,91.844,6497.244,4958,8458
242,74.186,4996.334,3829,6027
243,92.220,5857.081,4679,8219
244,85.457,5756.730,4381,6916
245,82.914,4661.975,2933,5729
246,79.417,5941.936,4872,6924
247,122.160,4436.756,2376,5873
248,48.205,6097.865,4803,8568
249,45.922,6092.334,4613,8321
250,99.503,6199.561,4768,7727
251,93.087,6842.059,5631,8171
252,46.356,4799.776,3938,6368
253,141.783,4877.540,3883,5893
254,81.093,4963.873,4030,6258
255,97.769,5070.450,4121,6223
256,61.557,5775.623,4333,7266
257,53.205,4895.358,3737,6026
258,115.629,4836.379,3695,5930
259,100.659,5130.625,3989,6410
260,131.611,4734.415,3269,6036
261,67.799,5212.668,4051,6511
262,87.076,5103.237,3769,6402
263,155.973,6113.768,4540,7577
264,78.059,4840.192,3911,6291
265,109.762,7063.124,5567,8548
266,103.318,7278.228,4166,10467
267,124.415,4800.079,3762,5987
268,151.638,4847.706,3566,6324
269,113.115,5193.864,3989,7097
270,86.758,5098.027,4281,6131
271,65.054,4874.004,3325,6034
272,87.683,5858.900,4663,7371
273,132.015,5266.682,4075,6514
274,72.221,4919.494,3566,6357
275,215.739,5806.359,3696,7763
276,132.478,4934.081,3925,6603
277,120.369,5838.255,4784,6935
278,93.434,5876.838,4736,7053
279,120.831,5280.446,3848,6648
280,128.836,5935.761,4716,7956
281,97.769,5019.886,4060,6032
282,149.818,5086.921,3716,6373
283,134.905,7308.469,6031,9456
284,114.155,5097.519,3988,6223
285,189.266,5301.863,4252,6644
286,120.137,5087.639,3235,6492
287,162.736,7119.183,5920,8527
288,163.487,5354.943,3529,6486
289,86.209,5217.736,4027,6440
290,147.332,5083.890,3988,6776
291,105.485,5228.765,3846,6940
292,120.022,6110.996,4893,7425
293,79.706,5874.269,4590,7291
294,155.973,5950.814,4239,7746
295,103.086,5080.407,4020,6867
296,78.521,7053.116,5729,8388
297,212.184,4849.348,3476,5934
298,58.060,5818.714,4748,6924
299,116.756,7064.752,5499,8770
300,64.967,5210.390,3865,7905
301,64.447,4947.820,3988,5851
302,77.308,5039.829,3884,6248
303,51.933,4934.651,3762,6327
304,79.880,4726.267,3491,5881
305,131.004,7084.182,5417,8589
306,50.662,4840.422,3686,5772
307,114.646,4864.730,3624,6299
308,98.520,5036.539,3882,6364
309,131.611,6553.338,4116,11167
310,162.042,8254.594,5998,11990
311,33.784,4911.111,3799,6219
312,153.228,4833.994,3584,6095
313,68.464,4806.859,2942,6178
314,129.848,5122.252,4147,6438
315,107.884,4810.122,3696,6150
316,47.309,5847.621,4661,7115
317,144.067,6172.881,4970,7357
318,138.980,5188.702,4052,6824
319,46.413,4766.535,2721,5887
320,134.327,5065.366,4007,7548
321,175.568,6862.342,5314,8608
322,82.192,5003.288,3863,6292
323,85.891,5145.468,4012,6507
324,70.227,5201.655,4306,7123
325,112.681,4641.962,2685,6334
326,51.702,4949.191,4011,6212
327,126.553,5949.487,4559,7458
328,99.965,6016.211,4739,7587
329,146.668,5481.717,3792,6887
330,118.346,4455.446,3272,5839
331,103.693,5722.202,2500,6931
332,129.414,4822.788,3766,6234
333,101.063,5152.566,4084,6446
334,89.561,5132.215,3813,6260
335,112.248,5795.140,3883,9018
336,73.724,4737.482,3770,5854
337,182.128,6730.584,5118,8261
338,137.333,5932.070,4779,7580
339,89.966,7382.387,5316,14124
340,103.838,5847.588,4464,6996
341,90.573,4950.135,4047,5916
342,110.629,5015.368,3877,6287
343,76.961,5159.158,3931,7143
344,43.581,5638.989,4640,6556
345,151.812,6740.840,3336,10097
346,111.785,7188.071,5840,8458
347,103.375,4928.328,3761,7023
348,96.266,4923.747,3589,7336
349,76.816,5761.314,4735,7337
350,82.943,4472.645,3181,5396
351,113.028,5853.835,4539,7274
352,108.115,4979.481,1942,5997
353,54.794,5065.706,3994,6275
354,84.301,5145.911,4163,6145
355,155.598,5194.268,4068,6309
356,61.384,5058.224,3822,5926
357,66.557,4968.070,3964,6180
358,136.899,4573.875,3466,6255
359,33.206,5003.634,4130,5901
360,85.775,4770.636,3424,6792
361,120.311,7021.546,5618,8507
362,127.420,5083.097,3799,6152
363,171.666,5592.304,4271,6837
364,113.433,4856.526,3797,5977
365,73.319,7400.554,6031,8496
366,101.121,6558.232,5593,7977
367,78.001,5124.878,3903,6367
368,157.245,5863.865,3599,7539
369,96.410,5130.878,3973,6511
370,75.169,5202.412,4198,6765
371,113.490,5062.233,3968,6163
372,128.489,5195.923,3535,6958
373,67.019,6959.114,5293,8746
