 ,Area,Mean,Min,Max
168,71.383,1180.969,792,1858
169,76.585,1215.061,683,1773
170,114.415,1450.445,1175,2013
171,89.966,1633.192,1286,2180
172,59.736,1720.044,1307,2104
173,114.300,1452.859,1133,2139
174,42.772,1770.732,1357,2483
175,100.890,1751.576,1385,2432
176,63.898,1199.892,938,1652
177,65.690,1496.719,1128,2070
178,70.892,1714.928,1394,2171
179,56.615,1352.423,1000,1706
180,102.046,1340.352,1014,1871
181,91.671,1772.307,1283,2778
182,71.441,1242.328,911,2275
183,107.075,1299.978,1007,1925
184,69.620,1288.611,993,1787
185,95.023,1217.774,995,1476
186,32.484,1180.239,953,1789
187,84.822,1187.560,908,2668
188,74.244,1304.675,1007,1661
189,128.258,1700.578,1272,2755
190,97.827,1481.227,977,2356
191,245.881,1670.151,1247,3353
192,145.338,1298.130,934,2028
193,77.741,1289.061,882,2695
194,141.552,1486.825,1108,2193
195,84.793,1447.681,1134,1923
196,169.845,1755.364,1107,2600
197,119.935,1631.199,1152,2202
198,55.777,1484.430,1134,2085
199,34.709,1492.402,1080,2239
200,104.791,1496.410,1204,2231
201,78.666,1099.044,773,1507
202,26.155,1511.797,1180,2124
203,120.947,1500.371,1082,2000
204,124.588,1682.230,1371,2082
205,80.169,1207.699,852,1795
206,79.620,1480.679,1151,1910
207,111.670,1279.386,967,1574
208,144.067,1254.700,836,1881
209,131.466,1468.935,1070,1977
210,63.551,1660.734,1195,2293
211,109.069,1129.713,819,1927
212,41.443,1271.759,1015,1686
213,82.972,1930.147,1336,4080
214,81.989,1281.702,982,1741
215,118.143,1797.626,1011,3345
216,70.516,1617.324,1090,3183
217,121.236,1304.649,1004,1866
218,80.949,1269.534,966,1686
219,142.159,1734.193,1338,2501
220,135.397,1771.482,1291,3522
221,83.203,1623.818,1088,2494
222,100.370,1666.050,1337,2426
223,124.501,1749.617,1247,2439
224,79.042,1191.304,872,1628
225,68.955,1421.974,996,1841
226,92.942,1263.338,960,1757
227,115.195,1585.527,1212,2192
228,123.576,1715.911,1297,2648
229,128.721,1645.928,1342,2231
230,164.412,1469.733,985,2184
231,104.734,1695.992,1333,2355
232,95.023,1308.798,993,1985
233,136.090,1362.573,1015,1922
234,104.069,1611.746,1151,2184
235,44.477,1548.724,1121,2337
236,151.638,1509.547,1134,2486
237,74.822,1556.403,899,2967
238,99.156,1617.147,1094,2863
239,30.865,1515.076,1174,2053
240,114.878,1626.675,1120,2717
241,91.844,1586.350,1264,2018
242,74.186,1315.905,978,3345
243,92.220,1429.599,1034,1984
244,85.457,1567.385,1125,3021
245,82.914,1135.992,629,1672
246,79.417,1484.032,1184,1955
247,122.160,1090.101,584,2027
248,48.205,1568.923,1150,2370
249,45.922,1574.203,1058,2439
