 ,Area,Mean,Min,Max
201,78.666,1218.542,0,5337
202,26.155,906.529,79,2874
203,120.947,1341.097,0,5761
204,124.588,1431.609,0,7611
205,80.169,2680.569,0,8582
206,79.620,3237.492,61,10997
207,111.670,1392.829,0,4472
208,144.067,1025.471,0,5420
209,131.466,1165.570,0,4474
210,63.551,797.933,0,10833
211,109.069,1228.767,0,5696
212,41.443,1444.415,0,9505
213,82.972,1659.058,0,8866
214,81.989,1592.277,0,7133
215,118.143,3554.810,80,15362
216,70.516,3894.891,41,9449
217,121.236,1303.874,0,8004
218,80.949,1877.640,38,5782
219,142.159,3849.588,24,15286
220,135.397,1979.645,0,7550
221,83.203,1951.977,0,9029
222,100.370,2319.185,0,8992
223,124.501,3437.701,110,9617
224,79.042,1041.362,0,5750
225,68.955,1127.726,71,2947
226,92.942,1830.380,0,9406
227,115.195,1510.747,0,6972
228,123.576,1288.992,0,10419
229,128.721,3309.918,0,17192
230,164.412,1252.715,0,7461
231,104.734,2258.256,10,9271
232,95.023,2659.601,0,10457
233,136.090,1128.866,0,4168
234,104.069,1674.012,0,10411
235,44.477,734.059,0,3940
236,151.638,1256.190,0,8162
237,74.822,104.626,0,1450
238,99.156,2015.161,3,8073
239,30.865,4644.939,108,12761
240,114.878,2343.964,0,10030
241,91.844,3051.548,0,11335
242,74.186,4272.338,1,26066
243,92.220,1543.223,0,10116
244,85.457,1469.757,0,6554
245,82.914,1578.218,0,9008
246,79.417,888.599,5,4320
247,122.160,1563.466,0,8405
248,48.205,148.536,0,513
249,45.922,226.587,0,3566
250,99.503,1811.876,4,5178
251,93.087,2843.708,0,11372
252,46.356,156.726,0,690
253,141.783,650.304,0,3663
254,81.093,2029.508,0,9029
255,97.769,1758.965,7,5933
256,61.557,1489.311,0,6450
257,53.205,587.831,0,4393
258,115.629,1351.117,0,8466
259,100.659,3677.038,49,15176
260,131.611,1129.767,0,4255
261,67.799,1976.029,0,7770
262,87.076,3430.350,10,14393
263,155.973,2354.215,33,11790
264,78.059,1485.695,3,6101
265,109.762,3565.951,3,14012
266,103.318,3025.891,0,18951
267,124.415,2023.122,0,10171
268,151.638,1307.962,0,5480
269,113.115,2121.272,0,14206
270,86.758,913.952,0,3507
271,65.054,2910.271,0,9215
272,87.683,2776.835,27,13551
273,132.015,1602.806,0,6224
274,72.221,2113.108,0,8454
275,215.739,818.100,0,4233
276,132.478,1178.575,0,4372
277,120.369,1060.781,0,6548
278,93.434,1533.972,1,6042
279,120.831,2041.508,0,7276
280,128.836,2265.985,0,23608
281,97.769,1163.993,0,5980
282,149.818,2387.467,0,12855
283,134.905,2608.378,0,9775
284,114.155,2784.670,0,15687
285,189.266,1168.533,0,6187
286,120.137,1288.277,0,6636
287,162.736,1922.817,0,10433
288,163.487,1587.976,50,5700
289,86.209,2508.347,0,14172
290,147.332,976.988,0,7209
291,105.485,2532.339,41,11975
292,120.022,2454.789,0,19378
293,79.706,1696.664,0,8173
294,155.973,1345.964,0,9178
295,103.086,3208.622,0,22467
296,78.521,1421.168,0,8426
297,212.184,1678.221,0,6169
298,58.060,1322.000,0,4287
299,116.756,1400.496,4,4600
300,64.967,136.283,0,1699
301,64.447,618.723,0,2972
302,77.308,845.702,0,5047
303,51.933,1640.024,26,9943
304,79.880,2637.876,0,7910
305,131.004,1322.044,0,5215
306,50.662,798.816,30,2754
307,114.646,1806.121,0,9029
308,98.520,1885.821,0,7557
309,131.611,3346.766,6,11475
310,162.042,1511.204,12,7775
311,33.784,3744.231,118,10302
312,153.228,1636.626,0,6452
313,68.464,5016.056,21,15201
314,129.848,1557.731,0,6742
315,107.884,1698.765,0,6153
316,47.309,1367.756,146,5419
317,144.067,1143.006,0,5253
318,138.980,1562.497,0,7884
319,46.413,1463.951,0,8150
320,134.327,984.225,0,4290
321,175.568,1718.088,0,16169
322,82.192,2002.607,0,11425
323,85.891,1455.997,0,8374
324,70.227,3804.254,8,15927
325,112.681,1892.307,0,10030
326,51.702,1699.484,41,7059
327,126.553,1566.015,0,9437
328,99.965,1467.200,42,5994
329,146.668,1591.762,0,6930
330,118.346,2104.953,0,9146
331,103.693,1416.020,0,8181
332,129.414,981.560,0,3454
333,101.063,1333.625,0,6584
334,89.561,1503.989,0,4641
335,112.248,4189.535,42,14792
336,73.724,1528.641,0,6633
337,182.128,877.463,0,2966
338,137.333,1233.458,0,13570
339,89.966,3128.538,35,13415
340,103.838,2784.334,5,10717
341,90.573,1512.632,0,5929
342,110.629,2574.667,0,13648
343,76.961,1958.632,63,7158
344,43.581,1019.820,0,8030
345,151.812,1682.018,0,12713
346,111.785,1551.829,32,5614
347,103.375,1361.821,0,5514
348,96.266,898.678,0,4304
349,76.816,1559.307,0,7818
350,82.943,3069.869,85,15652
351,113.028,4328.610,60,26075
352,108.115,1624.657,0,6638
353,54.794,1018.917,0,4876
354,84.301,1640.292,19,4377
355,155.598,937.319,0,4986
356,61.384,409.719,0,2462
357,66.557,1587.137,0,8461
358,136.899,1207.436,0,8159
359,33.206,1439.266,0,4826
360,85.775,2456.315,16,8237
361,120.311,1777.780,0,8878
362,127.420,1141.298,0,4595
363,171.666,1458.656,2,5393
364,113.433,2121.660,0,11621
365,73.319,2964.924,372,5566
366,101.121,1152.197,0,7993
367,78.001,2509.854,0,7851
368,157.245,1134.267,0,4854
369,96.410,2073.966,21,9191
370,75.169,2146.848,22,10640
371,113.490,1716.916,0,6160
372,128.489,1450.494,0,6611
373,67.019,2188.765,0,11249
374,154.817,1393.914,0,7139
375,104.647,1649.361,0,10058
376,94.185,3453.058,424,21089
377,73.088,2091.617,0,9718
378,63.696,1642.238,0,7421
379,87.307,3047.904,52,9514
380,78.666,2700.145,6,13588
381,106.959,2119.956,0,12374
382,66.557,187.657,0,3608
383,83.694,2166.937,10,8099
384,82.712,1569.393,0,7414
385,49.014,4150.198,55,17359
386,170.510,1473.778,0,10828
387,158.979,2830.255,104,9421
388,140.454,1526.727,0,11026
389,24.652,3047.644,212,8713
390,57.453,132.207,0,1065
391,36.703,2618.043,81,11011
